,"Welcome to Rhya's uaRO Loot Sheet! Review the Notes and Quick Links tabs for more information. I'm no longer on hiatus, please message me on Discord if you need help.",,,,,,,
,"Want to support this work? You can mail me in-game hat quest materials to ""Rhya"" the Sniper. Cheers!",,,,,,,
Item Name,Action,Category,Details,ID,Average Vend (z),Average Whobuy (z),NPC Overcharge 10 (z),NPC Buyable
2carat Diamond,"NPC, Keep","Official Hat Quest, Misc",x10 for Mystic Rose,731,,,"15,500",No
3carat Diamond,"NPC, Keep","Pet Evolution, Other Quest, Misc","Diamond Gambling, x6 for Little Isis Pet Evolution",732,0,0,"34,100",Yes
Abysmal Knight Card,"Keep, Vend",Card,"x3 for Abysmal Knight Pet Evolution, x3 for White Knight Pet Evolution",4140,,,12,No
Acorn,"Whobuy, Vend","Repeatable Quest, Misc",,1026,,,60,No
Agate,Vend,"Refining / Ore / Forging, Misc",,7291,,,"1,860",No
Agav Card,Vend,"Pet Evolution, Card",x10 for Gloom Under Night Pet Evolution,4409,,,12,No
Alcohol,"Vend, Whobuy","Skill Crafting, Cooking, Alchemy / Brewing / Potions, Official Hat Quest, Server Hat Quest, Misc","x1 for Giant Band Aid, x1 for Headset, x50 for Beer Hat",970,,,248,No
Alice Card,Vend,"Pet Evolution, Card","x1 for Aliza Pet Evolution,",4253,,,12,No
Alice's Apron,"Vend, Keep","Pet Evolution, Official Hat Quest, Server Hat Quest, Misc","x100 for Blush, x500 for Alice Doll, x500 for Glaris Doll, x500 for Defolty Doll, x500 for Aliza Pet Evolution",7047,,,"1,502",No
Alicel Card,Vend,"Pet Evolution, Card",x10 for Kiel D-01 Pet Evolution,4401,,,12,No
Aliot Card,Vend,"Pet Evolution, Card",x10 for Kiel D-01 Pet Evolution,4402,,,12,No
Aliza Card,Vend,"Pet Evolution, Card",x10 for Kiel D-01 Pet Evolution,4400,,,12,No
Aloe,"Vend, Whobuy","Cooking, Alchemy / Brewing / Potions",,704,,,310,No
Aloe Leaflet,"Vend, Whobuy","Cooking, Consumable",,521,,,223,No
Aloevera,"Vend, Whobuy","Cooking, Pet Evolution, Consumable",x150 for Earth Deleter Pet Evolution,606,,,930,No
Amethyst,NPC,Misc,,719,,,"3,720",No
Amulet,"Vend, Whobuy","Cooking, Consumable",,609,,,62,No
Ancient Lips,"Vend, Whobuy","Cooking, Official Hat Quest, Other Quest, Misc, Server Hat Quest","x450 for Magician Hat, x2 for Bride Mask, x350 for Fish in Mouth",1054,,,620,No
Ancient Mummy Card,Vend,"Pet Evolution, Card",x1 for Ancient Mummy Pet Evolution,4248,,,12,No
Ancient Tooth,"Vend, Whobuy","Official Hat Quest, Other Quest, Misc",x2 for Mythical Lion Mask,1053,,,339,No
Angel Wing [0],Keep,"Official Hat Quest, Server Hat Quest, Equipment","x1 for Helm of Angel, x1 for Santa Poring Hat",,,,12,No
Angel Wing Ears [0],"Keep, Vend","Server Hat Quest, Equipment",x1 for Dark Randgris Helm,,,,12,No
Animal Gore,"Vend, Whobuy","Cooking, Pet Taming Item Ingredient, Misc",,702,,,279,No
Animal Skin,NPC,"Pet Evolution, Misc",x20 for Desert Wolf Pet Evolution,919,0,0,22,Yes
Anodyne,"Vend, Whobuy","Consumable, Cooking",,605,,,"1,240",No
Anolian Skin,"Whobuy, Vend, Keep","Repeatable Quest, Official Hat Quest, Misc",x300 for Blue Hairband,7003,,,600,No
Ant Jaw,NPC,Misc,,1014,,,143,No
Antelope Horn,Vend,"Repeatable Quest, Dungeon Quest, Misc",x20 for Finding the Moving Island Quest (Moscovia Dungeon Access),7106,0,0,416,Yes
